,Sector,Data,Subsector,Unit,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050
28,Residential & Commercial Buildings and Construction,Energy Intensity,Residential Buildings: Energy Intensity,[kWh/m2],100.65150660027395,100.40050533693163,100.15013001190188,99.90037906424128,97.1997207830499,91.73109882758718,81.48325001360409,71.23540119962098,56.605222777300746,41.97504435498052
29,Residential & Commercial Buildings and Construction,Energy Intensity,Commercial Buildings: Energy Intensity,[kWh/m2],100.90370476315944,100.65207457671765,100.40107189697522,100.15069515907754,95.06075301596044,86.19593285609123,72.03005106858754,57.86416928108385,43.445287764710194,29.026406248336567
30,Residential & Commercial Buildings and Construction,Energy Intensity,Construction: Residential and Commercial Building - Energy Intensity,[MJ/$GDP],0.7,0.7,0.7,0.7,0.6690551209649999,0.6657098453601749,0.6623812961333739,0.659069389652707,0.6458880018596529,0.6329702418224599
31,Residential & Commercial Buildings and Construction,Carbon Intensity,Residential Buildings: Total Emission Intensity (Heating & Electricity),[kg CO2/kWh],0.19099434181496316,0.17181977349074457,0.17057803974059912,0.17057803974059915,0.1387330832926993,0.09202361357932848,0.047952349879983154,0.02181542178966669,0.009147177518288722,0.0
32,Residential & Commercial Buildings and Construction,Carbon Intensity,Residential Buildings: Emission Intensity - Heat per square metre,[kg CO2/m2],12.28157235617494,12.15068888916688,12.015865753570669,11.985901001068001,8.419156310513694,6.35856199676087,2.7963587187803176,1.4227841439731297,0.5112185039702176,0.0
33,Residential & Commercial Buildings and Construction,Carbon Intensity,Residential Buildings: Emission Intensity - Heat,[kg CO2/kWh],0.12202075031971268,0.12102218856758416,0.11997853374871005,0.11997853374871006,0.086617083286744,0.06931740792413356,0.034318203045576236,0.01997299264148315,0.009031295680638525,0.0
34,Residential & Commercial Buildings and Construction,Carbon Intensity,Residential Buildings: Emission Intensity - Electricity,[kg CO2/kWh],0.0689735914952505,0.0507975849231604,0.050599505991889074,0.050599505991889074,0.05211600000595528,0.022706205655194926,0.013634146834406917,0.00184242914818354,0.00011588183765019824,0.0
35,Residential & Commercial Buildings and Construction,Carbon Intensity,Commercial Buildings: Total Emission Intensity (Heating & Electricity),[kg CO2/kWh],29.013521869638122,28.705031921322526,28.387221162408775,28.31712821664736,20.039519490445144,15.342959196512627,6.683360322668236,3.313318383349208,1.2041956062424901,0.0
36,Residential & Commercial Buildings and Construction,Carbon Intensity,Commercial Buildings: Emission Intensity - Heat per square metre,[kg CO2/m2],28.728806785558792,28.42264681466483,28.107271250328452,28.03717830456704,19.83090651520524,15.166999622551366,6.591845114546699,3.257030858632301,1.1771017192005746,0.0
37,Residential & Commercial Buildings and Construction,Carbon Intensity,Commercial Buildings: Emission Intensity - Heat,[kg CO2/kWh],0.2847150840793296,0.28238510665769645,0.2799499120803235,0.2799499120803235,0.20861297523990457,0.17595957396126208,0.09151520812153661,0.05628752471690705,0.027093887041915572,0.0
38,Residential & Commercial Buildings and Construction,Carbon Intensity,Commercial Buildings: Emission Intensity - Electricity,[kg CO2/kWh],0.0689735914952505,0.0507975849231604,0.050599505991889074,0.050599505991889074,0.05211600000595528,0.022706205655194926,0.013634146834406917,0.00184242914818354,0.00011588183765019824,0.0
39,Total Materials / Steel,Market Development,Regional: Minning iron ore - production volume in mega tonnes per year,[Mt/a],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Total Materials / Steel,Market Development,Annual production volume- Iron & Steel Industry,[Mt/a],19.12,19.12,19.12,11.595698,11.947059245098002,12.61876333713207,13.46058770502368,14.358571955420638,15.468259886197446,16.66370894332685
41,Total Materials / Steel,Energy Intensity,Average Energy Intensity in  steel production ,[GJ/ton],10.331995802767032,10.331995802767032,10.331995802767032,10.331995802767032,10.224097083789248,9.849828940601844,11.120868237666313,10.301181358482111,10.591110131185998,10.51016558704769
42,Total Materials / Steel,Energy Intensity,Energy Intensity - PRIMARY steel (FINAL ENERGY),[GJ/ton],13.556298311949277,13.556298311949277,13.556298311949277,13.556298311949277,13.592510372475878,13.592510372475878,12.712009273218012,11.073254513616563,10.708646256945187,10.300292404891756
43,Total Materials / Steel,Energy Intensity,Energy Intensity - SECONDARY steel (FINAL ENERGY),[GJ/ton],4.3440054285714345,4.3440054285714345,4.3440054285714345,4.3440054285714345,6.107147508727812,6.107147508727812,9.819025572214922,9.742093901315782,10.512752714013203,10.737528201049953
44,Total Materials / Steel,Energy Intensity,Primary Steel - process-related CO2 emissions,[t CO2/t steel],0.06150723813235021,0.06150723813235021,0.06150723813235021,0.0,0.059615506455997204,0.059615506455997204,0.04006441303009121,0.007835953875461066,0.007800000000000001,0.010300000000000002
45,Total Materials / Steel,Energy Intensity,Secondary Steel - process-related CO2 emissions,[t CO2/t steel],0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.007149999999999995,0.007149999999999995,0.001149999999999996,0.0015499999999999978,0.0003499999999999985,0.0
46,Total Materials / Steel,Carbon Intensity,Primary  Steel - Electricity CO2 emissions,[t CO2/t steel],0.03522479768511131,0.025942315211087693,0.025841156345376082,0.025841156345376082,0.01520652131467945,0.00913089344795236,0.0012210620150776299,5.7542484976949156e-05,0.0,0.0
47,Total Materials / Steel,Carbon Intensity,Secondary  Steel - Electricity CO2 emissions,[t CO2/t steel],0.07562604512811624,0.055696975705009914,0.055479792202302425,0.05547979220230241,0.0357561208317824,0.021470086594489287,0.004756477185412346,0.0002971494873983336,0.0,0.0
48,Total Materials / Steel,Carbon Intensity,Primary  Steel -Process Heat CO2 emissions,[t CO2/t steel],0.9204549544875177,0.9204549544875177,0.9204549544875177,0.9204549544875178,0.7470100380938809,0.7470076047218414,0.5185026593304027,0.27509357610198776,0.14072422151996006,0.0
49,Total Materials / Steel,Carbon Intensity,Secondary  Steel -Process Heat CO2 emissions,[t CO2/t steel],0.024623459999999996,0.024623459999999996,0.024623459999999996,0.02462346,0.019162062,0.019162062,0.007664381999999994,0.0035310239999999968,0.0007973279999999971,0.0
50,Total Materials / Steel,Carbon Intensity,Primary Steel - energy related CO2 emissions,[t CO2/t steel],0.955679752172629,0.9463972696986054,0.9462961108328938,0.9462961108328939,0.7622165594085604,0.7561384981697937,0.5197237213454804,0.2751511185869647,0.14072422151996006,0.0
51,Total Materials / Steel,Carbon Intensity,Secondary Steel - energy related CO2 emissions,[t CO2/t steel],0.10024950512811624,0.08032043570500991,0.08010325220230242,0.08010325220230241,0.0549181828317824,0.040632148594489284,0.012420859185412341,0.0038281734873983303,0.0007973279999999971,0.0
52,Total Materials / Steel,Carbon Intensity,Primary Steel - total CO2 equivalent (incl. process emissions],[t CO2 equivalent/t steel],1.0171869903049793,1.0079045078309556,1.007803348965244,0.9462961108328939,0.8218320658645576,0.815754004625791,0.5597881343755716,0.28298707246242577,0.14852422151996006,0.010300000000000002
53,Total Materials / Steel,Carbon Intensity,Secondary Steel - total CO2 equivalent (incl. process emissions],[t CO2 equivalent/t steel],0.11024950512811624,0.0903204357050099,0.09010325220230242,0.0901032522023024,0.0620681828317824,0.04778214859448928,0.013570859185412338,0.005378173487398328,0.0011473279999999956,0.0
54,Aluminium,Market Development,Minning bauxite - production volume in mega tonnes per year,[Mt/a],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Aluminium,Market Development,Annual production volume- aluminium Industry,[Mt/a],1.4649999999999999,1.4649999999999999,1.4649999999999999,1.4649999999999999,1.4957649999999998,1.5241845349999998,1.5500956720949999,1.57489720284852,1.5985206608912477,1.6208999501437251
56,Aluminium,Energy Intensity,Bauxite Mining - Energy Intensity,[PJ/Mt],0.7214,0.7214,0.7214,0.7214,0.7052374357885844,0.6893164998938698,0.6737935873965231,0.6586587477116099,0.6439022790188197,0.6295147220433492
57,Aluminium,Energy Intensity,"Primary Aluminium - Energy intensity - Electricity (Anode, Electrolysis + Ingot)",[PJ/Mt],55.8,55.8,55.8,55.8,54.41888042420062,53.05840841359561,51.73194820325572,50.43864949817433,49.17768326071997,47.948241179201965
58,Aluminium,Energy Intensity,"Secondary Aluminium - Energy intensity - Electricity (Anode, Electrolysis + Ingot)",[PJ/Mt],2.7900000000000023,2.7900000000000023,2.7900000000000023,2.7900000000000023,2.7209440212100335,2.652920420679783,2.5865974101627884,2.5219324749087186,2.4588841630360005,2.3974120589601005
59,Aluminium,Carbon Intensity,Primary aluminium production - share on total production,[tCO2/t alu],2.4425734899774296,2.1458236948369023,2.123212663313493,2.123212663313493,1.8733103785806433,1.1184647023354009,0.6605385107675488,0.18508042879287046,0.05246847436180536,0.0
60,Aluminium,Carbon Intensity,Secondary/scrap aluminium - share on total production,[tCO2/t alu],0.09561092542852134,0.08269717998255204,0.08187045468031529,0.08187045468031529,0.07331011801393787,0.042081789521120794,0.02464188025596822,0.006430284365816362,0.0017061342847461782,0.0
61,Aluminium,Carbon Intensity,Specific ENERGY RELATED CO2 emissions per ton of aluminium,[tCO2/ton alu],1.0343959512480847,0.9079477859242923,0.8984073381335864,0.8984073381335864,0.7933102222406201,0.47263495464683286,0.2790005324606004,0.077890342136638,0.022011070315569852,0.0
62,Aluminium,Carbon Intensity,Specific PROCESS RELATED CO2 emissions per ton of aluminium,[tCO2/ton alu],2.5,2.5,2.5,2.5,2.375,2.25625,2.1434375,2.036265625,1.9344523437499999,1.8377297265624999
63,Aluminium,Carbon Intensity,Specific  CO2 emissions per ton of aluminium (energy + process),[tCO2/ton alu],3.5343959512480847,3.4079477859242924,3.3984073381335866,3.3984073381335866,3.16831022224062,2.728884954646833,2.4224380324606005,2.114155967136638,1.9564634140655697,1.8377297265624999
64,Total Materials / Cement,Market Development,Cement - production volume in mega tonnes per year,[Mt/a],17.31158,17.36089344,17.03444756,17.03444756,17.420604379533316,17.860496470365835,18.311496387733026,18.773884618174417,19.247948730866153,19.733983556466427
65,Total Materials / Cement,Market Development,Clinker - production volume in mega tonnes per year,[Mt/a],14.0223798,14.062323686400003,13.797902523600001,13.797902523600001,13.065453284649987,11.430717741034135,11.170012796517145,10.88885307854116,10.586371801976382,10.38007535070134
66,Total Materials / Cement,Energy Intensity,Thermal energy intensity - per ton of Clinker,[GJ/ton],3.5,3.5,3.5,3.5,3.4,3.3,3.25,3.2,3.15,3.1
67,Total Materials / Cement,Energy Intensity,Cement production - electricity intensity,[kWh/t],116.0,116.0,116.0,116.0,90.0,87.0,85.0,83.0,81.0,79.0
68,Total Materials / Cement,Energy Intensity,Thermal energy intensity - per ton of Cement,[GJ/ton],4.747198664153817,4.990724047557528,5.166690144256382,5.069166845785367,4.0,3.5,3.0,2.0656853283118397,2.04,2.0065702798113327
