,Sector,Subsector,Label,Description,Scope,Unit,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050,Remarks
22,"Total Energy, Gas, Oil & Coal Sector - ",Oil,Production Centric  CO2,Oil Scope 1: ,1,[Mt CO2/a],10165.677997052127,10258.280994749113,10504.477937798796,10179.504961132947,9975.899724214883,7126.023812398915,3082.3692305908926,1228.212329298537,96.91711028892244,17.738321528050037,
23,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  CO2,Oil Scope 2: Electricity - own sector use,2,[Mt CO2/a],156.10568509499998,161.670094275,165.55017653760004,160.4181210649344,158.90748916535154,122.90879591918133,69.80787067982001,46.80450269509577,33.03696124172015,36.250631956512,
24,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  CO2,Oil Scope 3: Total CO2,3,[Mt CO2/a],0.0,0,0.0,0,0,0,0,0,0,0,
25,"Total Energy, Gas, Oil & Coal Sector - ",Oil,Total,Oil - total CO2 emissions,Total,[Mt CO2/a],11204.945305201889,11315.297057332322,11421.312078136187,11067.965756975547,10855.945969221446,7806.705540460212,3468.9724976008815,1487.4205457429998,370.3802892184251,218.49810132198633,
26,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,OECM  GHG,Gas Scope 1: ,1,[Mt CO2 equiv./a],890.9693383935887,934.7259947991778,957.1594186743583,927.5587942409674,952.2380522757346,868.4235469738691,685.300306171919,487.5306319405866,246.98889607988204,67.89147133726574,
27,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,OECM  GHG,Gas Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],55.971402435200005,59.24258896640001,60.66441110159361,58.78381435744421,60.352496713495995,55.04036426543311,43.43408077124633,30.89951172566964,15.654065181817284,4.302936425365902,
28,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,OECM  GHG,Gas Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],8916.073767402102,9222.811305395591,9404.041613341284,9118.34123976604,8921.129115124628,8216.480797045237,6907.210314817437,5687.956088815681,4169.497550817782,547.2993911477942,
29,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,OECM  CO2,Gas Scope 1: ,1,[Mt CO2/a],384.88012503920004,406.30522187919996,416.05654720430084,403.1587942409675,413.9173354163894,377.48497838037235,297.8852567515116,211.91904652880083,107.36074398465354,29.5109577340037,
30,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,OECM  CO2,Gas Scope 2: Electricity - own sector use,2,[Mt CO2/a],55.971402435200005,59.24258896640001,60.66441110159361,58.78381435744421,60.352496713495995,55.04036426543311,43.43408077124633,30.89951172566964,15.654065181817284,4.302936425365902,
31,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,OECM  CO2,Gas Scope 3: Total CO2,3,[Mt CO2/a],8083.672477481696,8396.58062983804,8598.098564954158,8332.618434886488,8007.15493203912,7168.952209130059,5618.28689344102,3947.6011936133727,4169.497550817782,547.2993911477942,
