,Sector,Subsector,Label,Description,Scope,Unit,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050,Remarks
25,"Total Energy, Gas, Oil & Coal Sector - ",Oil,Total,Oil - total CO2 emissions,Total,[Mt CO2/a],416.0034576538778,389.3471843785715,390.32853810335223,391.328538103352,241.8297700035494,154.41167901150402,67.6542100447632,36.21831914623056,22.57732690394473,18.127454557672767,
26,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,OECM  GHG,Gas Scope 1: ,1,[Mt CO2 equiv./a],520.9275149564061,542.0291791488872,525.6443891794892,526.644389179489,505.51594990688847,293.4311777303355,260.3223415040548,145.16125245017747,91.60578303179332,26.262093952040974,
27,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,OECM  GHG,Gas Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],0.0,0,0.0,1.0,0,0,0,0,0,0,
28,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,OECM  GHG,Gas Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],226.70752420830752,241.79027221789454,224.52840386102392,225.528403861024,184.69639354788427,107.2093987317539,95.11360674963066,53.038757277231625,33.47189560474346,9.595037577275582,
29,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,OECM  CO2,Gas Scope 1: ,1,[Mt CO2/a],8.41346394,8.53196316,8.649499599999999,9.6494996,7.248849859431984,4.207658634381934,3.7328942221630164,2.081540898189771,91.60578303179332,0.3765854986132609,
30,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,OECM  CO2,Gas Scope 2: Electricity - own sector use,2,[Mt CO2/a],0.0,0,0.0,1.0,0,0,0,0,0,0,
31,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,OECM  CO2,Gas Scope 3: Total CO2,3,[Mt CO2/a],226.70502770937009,241.7876080864682,224.52579716058096,225.525797160581,184.69374696947503,107.20710929628207,95.1105670970561,53.035667093676075,33.47189560474346,9.595037577271787,
32,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,Production Centric  GHG,Gas Scope 1: ,1,[Mt CO2 equiv./a],747.6350391647136,783.8194513667818,750.172793040513,751.172793040513,690.2123434547727,400.64057646208937,355.43594825368547,198.2000097274091,91.60578303179332,35.857131529316554,
33,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,Production Centric  GHG,Gas Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],0.0,0,0.0,1.0,0,0,0,0,0,0,
34,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,Production Centric  GHG,Gas Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],0.0,0,0.0,1.0,0,0,0,0,0,0,
35,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,Production Centric  CO2,Gas Scope 1: ,1,[Mt CO2/a],235.11849164937007,250.3195712464682,233.17529676058098,234.175296760581,191.942596828907,111.414767930664,98.84346131921912,55.11720799186585,91.60578303179332,9.971623075885049,
36,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,Production Centric  CO2,Gas Scope 2: Electricity - own sector use,2,[Mt CO2/a],0.0,0,0.0,1.0,0,0,0,0,0,0,
37,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,Production Centric  CO2,Gas Scope 3: Total CO2 ,3,[Mt CO2/a],0.0,0,0.0,1.0,0,0,0,0,0,0,
38,"Total Energy, Gas, Oil & Coal Sector - ",Gas,Total,Gas - total CO2 emissions,Total,[Mt CO2/a],712.823499378607,742.1675466168515,719.3829624936377,720.382962493638,669.2190464716268,384.433128122111,340.37909330570574,186.13017084978446,113.98595879820647,25.885508460595698,
39,Energy Industry,Energy Industry - ,OECM  GHG,Energy Industry - Scope 1: Total CO2 equivalent,1,[Mt CO2 equiv./a],556.8295539094484,576.7407141887154,560.5919345128468,561.591934512847,531.0656735220698,311.6866842009445,271.2202617436677,153.14692203638344,98.51028916024762,32.89121937073267,
